ppl_who_help_as_volunteer_perc, id, lga_name, lga_code, ppl_rated_their_cmty_good_vgood_for_cmty_and_sup_grps_perc, ppl_who_rated_their_cmty_as_a_pleasant_env_perc, ppl_who_are_def_able_to_get_help_from_nbrs_perc, ppl_who_rated_their_cmty_as_an_active_cmty_perc, ppl_who_attended_a_local_cmty_event_perc, ppl_who_feel_valued_by_society_perc
31.4,1,"Alpine (S)",20110,73.3,98.1,66.7,93.7,77.4,57.5
30.5,2,"Ararat (RC)",20260,69.9,95.2,69.7,90.9,78.1,58.4
22.2,3,"Ballarat (C)",20570,73.1,97.2,56.8,85.9,69.1,56.9
19.3,4,"Banyule (C)",20660,61.0,97.4,62.4,81.9,53.1,52.9
24.7,5,"Bass Coast (S)",20740,62.1,95.6,60.9,88.6,74.5,55.6
25.8,6,"Baw Baw (S)",20830,65.2,93.8,64.2,90.7,69.5,53.6
22.9,7,"Bayside (C)",20910,73.8,98.3,61.2,86.6,59.0,62.3
28.5,8,"Benalla (RC)",21010,65.9,96.7,68.5,93.3,75.1,57.2
25.1,9,"Boroondara (C)",21110,73.2,98.4,49.6,82.9,58.3,58.7
10.1,10,"Brimbank (C)",21180,40.4,91.8,46.0,74.1,34.3,50.8
46.1,11,"Buloke (S)",21270,60.4,93.9,71.7,92.3,82.6,61.8
27.5,12,"Campaspe (S)",21370,73.8,94.9,65.7,95.0,76.4,53.8
18.9,13,"Cardinia (S)",21450,55.5,93.1,57.7,83.8,60.8,54.6
13.3,14,"Casey (C)",21610,55.0,94.5,48.9,73.2,45.3,48.6
25.2,15,"Central Goldfields (S)",21670,76.2,97.9,61.4,92.6,66.8,54.2
26.5,16,"Colac-Otway (S)",21750,76.8,97.5,68.1,94.1,80.1,57.3
32.2,17,"Corangamite (S)",21830,73.8,95.7,67.7,92.1,78.5,54.0
15.7,18,"Darebin (C)",21890,53.3,93.8,51.9,79.8,45.3,50.2
27.6,19,"East Gippsland (S)",22110,68.7,97.9,70.7,92.1,75.2,49.5
15.0,20,"Frankston (C)",22170,64.0,96.5,50.8,78.9,55.2,55.1
