vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5632521,"Alpine (S)",20110,27,28,77,229,79,2012,443,12109,3
5632521,"Ararat (RC)",20260,38,84,177,577,263,2012,1153,11335,14
5632521,"Ballarat (C)",20570,225,689,563,6595,1702,2012,9796,96935,22
5632521,"Banyule (C)",20660,344,1102,314,4352,1204,2012,7341,123600,25
5632521,"Bass Coast (S)",20740,118,126,198,1113,443,2012,2029,30616,31
5632521,"Baw Baw (S)",20830,120,145,234,1498,514,2012,2517,44296,6
5632521,"Bayside (C)",20910,124,232,167,3410,422,2012,4355,96992,0
5632521,"Benalla (RC)",21010,69,81,90,488,185,2012,920,13731,7
5632521,"Boroondara (C)",21110,284,203,368,5187,666,2012,6743,168458,35
5632521,"Brimbank (C)",21180,1090,1217,842,12434,2385,2012,18001,193334,33
5632521,"Buloke (S)",21270,6,5,51,189,51,2012,303,6355,1
5632521,"Campaspe (S)",21370,84,160,310,1604,333,2012,2501,36967,10
5632521,"Cardinia (S)",21450,241,262,321,3056,903,2012,4795,80188,12
5632521,"Casey (C)",21610,775,1047,780,8872,2793,2012,14293,267640,26
5632521,"Central Goldfields (S)",21670,36,66,111,479,177,2012,874,12581,5
5632521,"Colac-Otway (S)",21750,58,90,188,761,305,2012,1421,20767,19
5632521,"Corangamite (S)",21830,25,50,51,547,113,2012,789,16387,3
5632521,"Darebin (C)",21890,519,491,535,8679,1396,2012,11659,144641,39
5632521,"East Gippsland (S)",22110,76,264,334,1741,588,2012,3036,43160,33
5632521,"Frankston (C)",22170,654,1351,1438,7379,1982,2012,12865,131754,61
5632521,"Gannawarra (S)",22250,25,46,82,254,105,2012,514,10376,2
5632521,"Golden Plains (S)",22490,13,18,15,275,71,2012,393,19470,1
5632521,"Greater Bendigo (C)",22620,240,794,670,3977,1187,2012,6907,103605,39
5632521,"Greater Dandenong (C)",22670,969,1529,1523,8189,2399,2012,14677,144312,68
5632521,"Greater Geelong (C)",22750,535,1007,1164,10774,2086,2012,15648,218125,82
5632521,"Greater Shepparton (C)",22830,428,508,682,3611,885,2012,6134,62379,20
5632521,"Hepburn (S)",22910,9,36,48,457,103,2012,657,14728,4
5632521,"Hindmarsh (S)",22980,33,14,39,124,42,2012,252,5781,0
5632521,"Hobsons Bay (C)",23110,246,181,420,5082,797,2012,6783,88275,57
5632521,"Horsham (RC)",23190,110,175,275,922,478,2012,1971,19631,11
5632521,"Hume (C)",23270,726,1169,858,9895,2597,2012,15285,178034,40
5632521,"Indigo (S)",23350,18,31,85,289,74,2012,504,15373,7
5632521,"Kingston (C)",23430,382,712,609,5821,1289,2012,8926,150014,113
5632521,"Knox (C)",23670,371,535,488,6249,1221,2012,8903,154583,39
5632521,"Latrobe (C)",23810,400,1166,759,5013,2065,2012,9426,74001,23
5632521,"Loddon (S)",23940,13,22,27,247,106,2012,428,7506,13
5632521,"Macedon Ranges (S)",24130,84,135,119,1001,239,2012,1597,43517,19
5632521,"Manningham (C)",24210,165,139,167,2742,513,2012,3756,117036,30
5632521,"Glen Eira (C)",22310,235,248,212,4201,626,2012,5546,139242,24
5632521,"Glenelg (S)",22410,55,81,138,820,193,2012,1293,19758,6
5632521,"Mansfield (S)",24250,18,39,53,238,66,2012,428,8052,14
5632521,"Maribyrnong (C)",24330,954,196,614,6183,945,2012,8921,76866,29
5632521,"Maroondah (C)",24410,244,818,368,3953,913,2012,6327,108168,31
5632521,"Melbourne (C)",24600,1602,2276,5890,18569,3567,2012,32052,105418,148
5632521,"Melton (S)",24650,370,340,449,5786,1368,2012,8415,117881,102
5632521,"Mildura (RC)",24780,260,422,750,2948,858,2012,5252,52197,14
5632521,"Mitchell (S)",24850,108,252,325,1249,559,2012,2534,36143,41
5632521,"Moira (S)",24900,96,121,167,837,197,2012,1422,28647,4
5632521,"Monash (C)",24970,214,233,288,6880,1032,2012,8658,179931,11
5632521,"Moonee Valley (C)",25060,340,340,493,5678,996,2012,7871,113513,24
5632521,"Moorabool (S)",25150,52,71,95,1032,211,2012,1472,29347,11
5632521,"Moreland (C)",25250,413,422,519,8490,1516,2012,11392,156657,32
5632521,"Mornington Peninsula (S)",25340,388,581,894,5725,1336,2012,8957,150830,33
5632521,"Mount Alexander (S)",25430,49,139,91,448,200,2012,934,17896,7
5632521,"Moyne (S)",25490,43,97,155,636,298,2012,1239,16226,10
5632521,"Murrindindi (S)",25620,39,26,97,298,117,2012,592,13423,15
5632521,"Nillumbik (S)",25710,114,110,111,1160,386,2012,1884,62751,3
5632521,"Northern Grampians (S)",25810,77,80,128,415,224,2012,928,11945,4
5632521,"Port Phillip (C)",25900,517,403,1269,6479,1476,2012,10313,100394,169
5632521,"Pyrenees (S)",25990,14,5,16,154,50,2012,239,6746,0
5632521,"Queenscliffe (B)",26080,0,6,9,82,12,2012,112,3085,3
5632521,"South Gippsland (S)",26170,53,111,154,701,206,2012,1227,27756,2
5632521,"Southern Grampians (S)",26260,45,59,180,506,180,2012,982,16372,12
5632521,"Stonnington (C)",26350,418,197,859,6167,1015,2012,8691,101187,35
5632521,"Strathbogie (S)",26430,20,14,40,251,80,2012,424,9666,19
5632521,"Surf Coast (S)",26490,21,47,153,951,131,2012,1321,27474,18
5632521,"Swan Hill (RC)",26610,110,181,237,849,423,2012,1809,20950,9
5632521,"Towong (S)",26670,14,14,50,138,62,2012,294,5910,16
5632521,"Wangaratta (RC)",26700,220,204,437,972,407,2012,2293,27221,53
5632521,"Warrnambool (C)",26730,94,170,207,1089,319,2012,1889,33004,10
5632521,"Wellington (S)",26810,161,354,308,1870,790,2012,3504,42294,21
5632521,"West Wimmera (S)",26890,16,5,20,61,42,2012,148,4195,4
5632521,"Whitehorse (C)",26980,256,198,302,4705,841,2012,6362,159296,60
5632521,"Whittlesea (C)",27070,516,505,481,8667,1740,2012,11934,169955,25
5632521,"Wodonga (RC)",27170,152,258,294,2146,469,2012,3329,36576,10
5632521,"Wyndham (C)",27260,559,520,687,9731,1404,2012,12923,178859,22
5632521,"Yarra (C)",27350,885,267,1088,7439,1140,2012,10898,80987,79
5632521,"Yarra Ranges (S)",27450,347,359,418,4197,974,2012,6349,149235,54
5632521,"Yarriambiack (S)",27630,15,18,73,218,78,2012,408,7102,6
5733545,"Alpine (S)",20110,36,37,108,225,77,2013,487,12030,4
5733545,"Ararat (RC)",20260,263,141,165,534,270,2013,1384,11214,11
5733545,"Ballarat (C)",20570,355,758,738,6666,1545,2013,10070,98570,8
5733545,"Banyule (C)",20660,298,1312,485,5417,1187,2013,8712,124350,13
5733545,"Bass Coast (S)",20740,144,181,223,1066,546,2013,2174,30975,14
5733545,"Baw Baw (S)",20830,222,243,367,1762,533,2013,3166,45158,39
5733545,"Bayside (C)",20910,219,275,253,2888,432,2013,4079,98270,12
5733545,"Benalla (RC)",21010,63,102,95,518,287,2013,1076,13697,11
5733545,"Boroondara (C)",21110,293,229,399,5449,710,2013,7103,170382,23
5733545,"Brimbank (C)",21180,1259,1754,1139,12734,2544,2013,19465,195273,35
5733545,"Buloke (S)",21270,8,9,30,145,42,2013,243,6214,9
5733545,"Campaspe (S)",21370,82,202,254,1663,452,2013,2668,36898,15
