lga_code,a_total,b_total,c_total,d_total,e_total,f_total,offence_total,lga_name,volunteer_rating_percentage
20110,757.0182959849894,1962.8904127175897,308.67114886751176,753.6664591621445,310.3007185989403,58.392835185649176,4150.939870516825,Alpine (S),31.4
20260,2741.282606308138,4447.090153670112,1026.2313654552577,1458.4247731428081,1490.8709419958577,80.2733267367438,11244.173167308918,Ararat (RC),30.5
20570,1654.982096733962,6724.424868282347,423.47053158991883,700.7331893529561,1133.0351012499646,24.337906480215832,10660.983693689364,Ballarat (C),22.2
20660,958.2864519819699,4150.998946615263,294.0925950613301,321.34899928369464,1185.0410487710512,17.720303552260305,6927.488345265569,Banyule (C),19.3
20740,1772.2569392120683,3679.986280607524,469.9348338740665,709.0823012809797,988.7502171626996,48.38268992961864,7668.393262066958,Bass Coast (S),24.7
20830,1412.7956336659342,3766.134970812026,590.6369577859194,665.34341790226,834.5390987787065,62.528155664083485,7331.97823460893,Baw Baw (S),25.8
20910,504.90921947679544,3128.654441519578,232.80237623262275,259.47386255080716,318.5712791236556,9.570107788438323,4453.981286691897,Bayside (C),22.9
21010,2053.42850209239,3965.3282994042747,476.03209015482315,638.8880819861072,1341.8158595773323,64.39853521155743,8539.891368426484,Benalla (RC),28.5
21110,409.6410821283278,3174.894020132028,186.75132604300737,204.61591239908233,202.71619379093718,12.349148544579698,4190.967683037963,Boroondara (C),25.1
21180,1247.8574626493762,5950.6456905567375,672.184404234602,554.4874918048902,1001.6232156626022,15.644691978774706,9442.442956886984,Brimbank (C),10.1
21270,812.7853639018278,2318.8046680712077,154.6393172671588,436.83646063254855,118.30600183971652,62.11354500393081,3903.4853567163905,Buloke (S),46.1
21370,1356.3701168220355,4544.765072012021,307.9878026155673,768.639354906781,957.4263503359485,35.244653224930275,7970.4333499172835,Campaspe (S),27.5
21450,1170.6102552078974,4013.451378220644,376.49205248973357,433.02072372335476,954.2992328253022,31.867121795723932,6979.740764262657,Cardinia (S),18.9
